from,to
"designing books is no laughing matter. ok, it is.",humor
make data more human,media
put the financial aid in the bag,poetry
a magical tale (with augmented reality),illusion
"unlock the intelligence, passion, greatness of girls",global issues
"connected, but alone?",sociology
inventing is the easy part,green
"everyday moments, caught in time",humor
the missing link to renewable energy,alternative energy
from mach-20 glider to hummingbird drone,drones
"yup, i built a nuclear fusion reactor",youth
let's talk about dying,health care
"building blocks that blink, beep and teach",toy
a comic sendup of ted2006,performance
la vie en rose,performance
how to truly listen,live music
the illusion of consciousness,consciousness
technology's long tail,marketing
why would god create a tsunami?,natural disaster
great cars are great art,transportation
kiteflyer's hill,composing
"global warming's theme song, manhattan in january",vocals
how to get your ideas to spread,marketing
what you've got,composing
casting a spell on the cello,vocals
how we discovered dna,dna
visual illusions that show how we (mis)think,brain
how architecture can connect us,invention
the electricity metaphor for the web's future,web
the shrimp with a kick!,biomechanics
the route to a sustainable future,sustainability
singing what i want,live music
cradle to cradle design,sustainability
design is in the details,industrial design
militant atheism,god
to invent is to give,transportation
software (as) art,performance
biomimicry's surprising lessons from nature's engineers,dna
a philosophical quest for our biggest problems,philosophy
a mockingbird remix of ted2006,poetry
what separates us from chimpanzees?,primates
one second every day,online video
sampling the ocean's dna,dna
how to talk to veterans about the war,peace
my wish: let my photographs bear witness,media
print your own medicine,medical research
take back your city with paint,urban planning
how the worst moments in our lives make us who we are,pain
"art with wire, sugar, chocolate and string",art
the life code that will reshape the future,tedbooks
why good leaders make you feel safe,leadership
the gentle genius of bonobos,apes
"how to rob a bank (from the inside, that is)",law
the bridge between suicide and life,depression
happiness by design,typography
the story of life in photographs,fish
the museum of four in the morning,online video
how the teddy bear taught us compassion,environment
why veterans miss war,war
the smelly mystery of the human pheromone,animals
comics that ask what if?,math
how sampling transformed music,music
what does the future hold? 11 characters offer quirky answers,theater
how augmented reality will change sports ... and build empathy,sports
"what ants teach us about the brain, cancer and the internet",ants
"are athletes really getting faster, better, stronger?",sports
"save the oceans, feed the world!",sustainability
the military case for sharing knowledge,iraq
"success, failure and the drive to keep creating",failure
my life in typefaces,industrial design
"for parents, happiness is a very high bar",culture
color blind or color brave?,inequality
"and for my next trick, a robot",magic
get your next eye exam on a smartphone,public health
the best computer interface? maybe ... your hands,senses
how synchronized hammer strikes could generate nuclear fusion,alternative energy
the sore problem of prosthetic limbs,prosthetics
hidden miracles of the natural world,nanoscale
the emergent patterns of climate change,environment
how i help transgender teens become who they want to be,lgbt
a shark-deterrent wetsuit (and it's not what you think),sports
should you live for your r?sum? ... or your eulogy?,self
autism ? what we know (and what we don¡¯t know yet),neuroscience
embrace the near win,motivation
be passionate. be courageous. be your best.,politics
victims of the city,sustainability
deep ocean mysteries and wonders,biology
beautiful artificial limbs,prosthetics
the flower-shaped starshade that might help us detect earth-like planets,planets
let's transform energy -- with natural gas,energy
listening to shame,psychology
why you will fail to have a great career,failure
"religion, evolution, and the ecstasy of self-transcendence",culture
questions no one knows the answers to,education
the cockroach beatbox,brain
why i must speak out about climate change,environment
the clues to a great story,storytelling
the genesis of google,web
the power of introverts,psychology
how simple ideas lead to scientific discoveries,simplicity
abundance is our future,sustainability
the $8 billion ipod,entertainment
robots that fly ... and cooperate,ai
design to challenge reality,materials
a ted speaker's worst nightmare,performance
the ocean's shifting baseline,oceans
coding a better government,cities
"saving for tomorrow, tomorrow",behavioral economics
a census of the ocean,fish
the sibling bond,psychology
why videos go viral,online video
all your devices can be hacked,security
the true cost of oil,oil
we need to talk about an injustice,law
i think we all need a pep talk,humor
hey science teachers -- make it fun,education
the earth is full,sustainability
2600 years of history in one object,history
fifty shades of gay,lgbt
let's teach kids to code,youth
my immigration story,storytelling
using tech to enable dreaming,art
how do you save a shark you know nothing about?,biology
digital humanitarianism,natural disaster
why domestic violence victims don't leave,yesallwomen
why libya's revolution didn't work -- and what might,politics
look up for a change,ted fellows
how movies teach manhood,identity
comedy is translation,literature
a country with no water,water
"looks aren't everything. believe me, i'm a model.",fashion
a new kind of job market,work
kids need structure,youth
how a boy became an artist,writing
a father-daughter dance ... in prison,youth
a universal translator for surgeons,health care
what i saw in the war,war
all it takes is 10 mindful minutes,meditation
could the sun be good for your heart?,heart health
a cinematic journey through visual effects,film
how common threats can make common (political) ground,politics
"biohacking -- you can do it, too",biology
what fear can teach us,fear
re-engineering mosquitos to fight disease,pandemic
different ways of knowing,arts
ethical riddles in hiv research,health care
a cello with many voices,music
deep sea diving ... in a wheelchair,performance art
beware neuro-bunk,advertising
this is beatjazz,music
"a father-daughter bond, one photo at a time",children
why bother leaving the house?,extreme sports
israel and iran: a love story?,middle east
a future beyond traffic gridlock,mobility
the dance of the dung beetle,animals
"a saudi, an indian and an iranian walk into a qatari bar ...",humor
what we learned from teetering on the fiscal cliff,politics
"a manifesto for play, for bulgaria and beyond",economics
building a dinosaur from a chicken,paleontology
haunting photos of polar ice,glacier
"excuse me, may i rent your car?",business
7 rules for making more happiness,happiness
is anatomy destiny?,culture
break the silence for suicide attempt survivors,depression
the world's first charter city?,politics
how i became 100 artists,arts
we need a moral operating system,culture
"on violon and cello, passacaglia",live music
wearing nothing new,fashion
authentic creativity vs. karaoke culture,arts
medicine's future? there's an app for that,tedx
visualizing ourselves ... with crowd-sourced data,visualizations
how to tie your shoes,culture
taking imagination seriously,visualizations
faith versus tradition in islam,egypt
art in exile,photography
gotta share!,entertainment
making sense of a visible quantum object,physics
building the seed cathedral,creativity
how we'll stop polio for good,vaccines
my friend richard feynman,culture
making a car for blind drivers,senses
tales of ice-bound wonderlands,photography
the hidden beauty of pollination,bees
"the weird, wonderful world of bioluminescence",deextinction
a light switch for neurons,brain
the hidden power of smiling,society
building a museum of museums on the web,arts
why eyewitnesses get it wrong,prison
the mystery of chronic pain,pain
how to step up in the face of disaster,natural disaster
"sculpted space, within and without",arts
the art of creating awe,film
"silk, the ancient material of the future",biology
strange answers to the psychopath test,prison
dare to disagree,women in business
the rise of human-computer cooperation,algorithm
brilliant designs to fit more people in every city,urban planning
the mad scientist of music,music
energy from floating algae pods,alternative energy
the power of the informal economy,law
"design for people, not awards",product design
embrace the remix,art
a test for parkinson's with a phone call,ted fellows
how we can eat our landscapes,botany
is life really that complex?,complexity
what's a snollygoster? a short lesson in political speak,culture
can democracy exist without trust?,protests
photos that bear witness to modern slavery,global issues
imaging at a trillion frames per second,invention
what we're learning from online education,internet
(re)touching lives through photos,memory
finding the story inside the painting,storytelling
fighting with nonviolence,terrorism
a teacher growing green in the south bronx,business
every city needs healthy honey bees,insects
when a reporter becomes the story,violence
behind the great firewall of china,china
i listen to color,sound
building unimaginable shapes,software
technology crafts for the digitally underserved,tedx
your phone company is watching,telecom
a navy admiral's thoughts on global security,terrorism
the greatest machine that never was,computers
image recognition that triggers augmented reality,interface design
sometimes it's good to give up the driver's seat,decision-making
the magic of truth and lies (and ipods),illusion
finding planets around other stars,universe
wireless data from every light bulb,cities
the great penguin rescue,animals
"suddenly, my body",poetry
the demise of guys?,feminism
how algorithms shape our world,computers
the shareable future of cities,green
how language transformed humanity,evolution
the origins of pleasure,happiness
the surprising math of cities and corporations,complexity
ending hunger now,war
5 ways to listen better,sound
time to end the war in afghanistan,foreign policy
are we filtering the wrong microbes?,microbiology
a robot that flies like a bird,biomechanics
"embracing otherness, embracing myself",psychology
"fighting viruses, defending the net",virus
try something new for 30 days,culture
after your final status update,self
see yemen through my eyes,war
"trial, error and the god complex",society
a global culture to fight extremism,politics
a circle of caring,culture
on being just crazy enough,mental health
cooking as never seen before,photography
don't take consciousness for granted,medicine
building a park in the sky,cities
caring for engineered tissue,biotech
my wish: find the next einstein in africa,ted prize
meet e-patient dave,tedx
a rosetta stone for a lost language,computers
my wish: once upon a school,ted prize
a history of the universe in sound,physics
the beautiful tricks of flowers,botany
the call to learn,web
let's take back the internet!,protests
my stroke of insight,consciousness
my days as a young rebel,architecture
a look inside the brain in real time,visualizations
"5 predictions, from 1984",interface design
my green agenda for architecture,cities
my wish: the charter for compassion,religion
a civil response to violence,terrorism
on the verge of creating synthetic life,alternative energy
a powerful idea about ideas,education
a song of the city,latin america
a preview of the worldwide telescope,universe
juggle and jest,humor
a parable for kenya,politics
building uniqueness,museums
the idea behind zipcar (and what comes next),transportation
the jill and julia show,singer
an illustrated journey through rome,macarthur grant
model rocketry,toy
the untouchable music of the theremin,live music
one day of peace,peace
a plant's-eye view,garden
underwater astonishments,fish
an unusual glimpse at celebrity,photography
the story of project orion,nasa
ted's nonprofit transition,philanthropy
the music wars,entertainment
tembererana,guitar
"rebuilding a neighborhood with beauty, dignity, hope",philanthropy
the new power of collaboration,wikipedia
the emergent genius of ant colonies,insects
four american characters,theater
in praise of slowness,personal growth
unleash your creativity in a fab lab,third world
my wish: rebuilding rwanda,ted prize
the life-long learner,literature
"a master architect asks, now what?",interview
we're worried about local warming ... in your lap,humor
treat design as art,museums
progress is not a zero-sum game,war
a dance of symbiosis,arts
the mystery box,entertainment
my wish: build the encyclopedia of life,ants
the era of open innovation,product design
8 secrets of success,success
photos of endangered cultures,photography
everyday inventions,product design
fight injustice with raw video,state-building
how the ghost map helped end a killer disease,urban planning
how technology evolves,philosophy
how to rebuild a broken state,investment
dreams from endangered cultures,photography
if i controlled the internet,poetry
is this our final century?,time
my wish: three actions for africa,philanthropy
the hidden world of shadow cities,third world
my wish: three unusual medical inventions,health care
global priorities bigger than climate change,future
the killer american diet that's sweeping the planet,obesity
my wish: manufactured landscapes and green education,pollution
why did i ski to the north pole?,personal growth
the surprising science of happiness,psychology
why we should invest in a free press,investment
how juries are fooled by statistics,culture
living beyond limits,personal growth
the accelerating power of technology,invention
invest in africa's own solutions,investment
why people believe weird things,faith
the paradox of choice,decision-making
the real future of space exploration,rocket science
the technology of storytelling,storytelling
a garden in my apartment,food
fly with the jetman,flight
a 12-year-old app developer,youth
how to defend earth from asteroids,science
how mobile phones can fight poverty,microfinance
"meet rezero, the dancing ballbot",design
meet the future of cancer research,cancer
a roadmap to end aging,biotech
science versus wonder?,time
experiments that hint of longer lives,genetics
open science now!,open-source
6 ways to save the internet,business
conception to birth -- visualized,visualizations
how games make kids smarter,gaming
being young and making an impact,youth
"augmented reality, techno-magic",entertainment
a map of the brain,science
"trust, morality -- and oxytocin?",morality
high-tech art (with a sense of humor),ted fellows
the right to understand,simplicity
crowdsourcing the news,social media
the line between life and not-life,biology
the shared experience of absurdity,tedx
a plane you can drive,transportation
a prosthetic arm that feels,prosthetics
ancient wonders captured in 3d,invention
the divided brain,brain
"fbi, here i am!",web
learning from a barefoot movement,women
the real reason for brains,neurology
dog-friendly dog training,brain
the strange tale of the norden bombsight,war
how photography connects us,photography
open-source cancer research,medical research
how economic inequality harms societies,inequality
freeing energy from the grid,energy
the dog song,piano
"great piano performances, recreated",piano
art made of storms,visualizations
how cyberattacks threaten real-world peace,terrorism
stories cut from paper,arts
close-up card magic with a twist,illusion
brain magic,illusion
"the next 5,000 days of the web",web
a computer that works like the brain,visualizations
a tour of modern architecture,humor
kids can teach themselves,education
the web as art,web
blindfold origami and cello,cello
the brain in love,literature
shedding light on dark matter,dark matter
a dig for humanity's origins,human origins
on humanity,literature
a family tree for humanity,genetics
the wonder of zulu wire art,art
animate characters by evolving them,gaming
the new era of positive psychology,psychology
my year of living biblically,writing
the math and magic of origami,origami
let's look for life in the outer solar system,extraterrestrial life
the story of a girl,photography
institutions vs. collaboration,society
"mother of pearl, if i had you",piano
a hero of the congo forest,biosphere
what happens when you lose everything,film
peace on earth,guitar
on technology and faith,christianity
clonie,piano
stephen hawking's zero g flight,space
"a performance with breath, music, passion",music
beware online filter bubbles,global issues
"one laptop per child, two years on",one laptop per child
surprising stats about child carseats,transportation
distant time and the hint of a multiverse,time
"the mothers who found forgiveness, friendship",terrorism
the transformative power of classical music,conducting
using nature to grow batteries,virus
a radical experiment in empathy,sociology
turning trash into toys for learning,toy
are we ready for neo-evolution?,evolution
3 things i learned while my plane crashed,business
architecture that senses and responds,design
the history of our world in 18 minutes,big bang
the antidote to apathy,politics
teaching with the world peace game,war
a song inspired by the ocean,entertainment
grow your own clothes,materials
on being wrong,culture
the security mirage,terrorism
a next-generation digital book,software
remaking my voice,speech
open-sourced blueprints for civilization,ted fellows
"transplant cells, not organs",business
google's driverless car,transportation
looking past limits,business
what it takes to do extreme astrophysics,universe
everyday compassion at google,culture
the invention that unlocked a locked-in artist,invention
"listen, learn ... then lead",iraq
don't insist on english!,culture
singing the primal mystery,music
the greatest ted talk ever sold,brand
hands-on science with squishy circuits,toy
it's time to question bio-engineering,deextinction
"a virtual choir 2,000 voices strong",online video
what teachers make,poetry
the genius puppetry behind war horse,theater
"cracking stuxnet, a 21st-century cyber weapon",iran
"rhythm is everything, everywhere",performance
human exoskeletons -- for war and healing,exoskeleton
"evolution's gift of play, from bonobo apes to humans",ted fellows
building a theater that remakes itself,theater
how i held my breath for 17 minutes,magic
embrace your inner girl,yesallwomen
your health depends on where you live,public health
growing up in the universe,biology
all things are moleeds,astronomy
10 young indian artists to watch,future
the uniqueness of humans,brain
an all-star set,performance
stories of haiti,poetry
what bernie madoff couldn't steal from me,money
how to live to be 100+,life
"making maps to fight disaster, build economies",map
growing new organs,medicine
exposing the invisible,photography
how we rescued the dancing bears,biosphere
really achieving your childhood dreams,life
"kids, take charge",society
the neurons that shaped civilization,neurology
the real danger lurking in the water,biodiversity
my message of peace from pakistan,violence
fusion is energy's future,alternative energy
a new way to fight corruption,asia
dragonflies that fly across oceans,biodiversity
what's the right thing to do?,government
claim your manspace,men
metaphorically speaking,writing
how to make a splash in social media,web
photographing the hidden story,third world
my solar-powered adventure,aircraft
the intricate economics of terrorism,corruption
optical illusions show how we see,consciousness
the art of the interview,art
the danger of a single story,writing
pop culture in the arab world,media
tribal leadership,society
how low-cost eye care can be world-class,public health
let's revive the golden rule,religion
wait it out,piano
how spectroscopy could reveal alien life,astronomy
designers -- think big!,product design
how the net aids dictatorships,web
the web as random acts of kindness,wikipedia
3 warp-speed architecture tales,green
the power of time off,happiness
a third way to think about aid,third world
a leap from the edge of space,sports
mapping the future of countries,state-building
time-lapse proof of extreme ice loss,global issues
how i harnessed the wind,poverty
photographs of secret sites,curiosity
how food shapes our cities,food
how we read each other's minds,brain
hypnotic south asian improv music,performance
the puzzle of motivation,work
how global crime networks work,writing
a demo of wireless electricity,engineering
adjustable liquid-filled eyeglasses,product design
how i swam the north pole,sports
"post-crash, investing in a better world",social change
a multimedia theatrical adventure,theater
"one seed at a time, protecting the future of food",biosphere
an inventory of the invisible,philosophy
the music of a war child,poetry
let my dataset change your mindset,presentation
two nerdy obsessions meet -- and it's magic,magic
how do you explain consciousness?,consciousness
what hallucination reveals about our minds,neurology
when people of muslim heritage challenge fundamentalism,terrorism
why the world needs charter cities,politics
what humans can learn from semi-intelligent slime,biology
sculptures that¡¯d be at home in the deep sea,ted fellows
why i love a country that once betrayed me,war
making sound visible through cymatics,visualizations
biomimicry in action,nature
the 1s and 0s behind cyber warfare,terrorism
a tool to fix one of the most dangerous moments in surgery,product design
a 30-year history of the future,prediction
want to innovate? become a now-ist,telecom
how to speak so that people want to listen,speech
what¡¯s wrong with your pa$$w0rd?,privacy
our unhealthy obsession with choice,social change
why we should trust scientists,history
why your worst deeds don¡¯t define you,prison
two poems about what dogs think (probably),poetry
which country does the most good for the world?,foreign policy
3 ways to speak english,race
the world's largest family reunion ¡¦ we're all invited!,entertainment
why truly innovative science demands a leap into the unknown,theater
how to make hard choices,choice
can prejudice ever be a good thing?,behavioral economics
"i¡¯m not your inspiration, thank you very much",motivation
what the gay rights movement learned from the civil rights movement,lgbt
the diy orchestra of the future,tedx
hackers: the internet's immune system,terrorism
the psychology of your future self,culture
"the secrets of nature's grossest creatures, channeled into robots",design
the hunt for unexpected genetic heroes,disease
what makes a word real?,culture
the loves and lies of fireflies,biology
the shocking move to criminalize nonviolent protest,terrorism
why people need poetry,language
reach into the computer and grab a pixel,interface design
is religion good or bad? (this is a trick question),atheism
a tale of two political systems,china
why we will rely on robots,work
get ready for hybrid thinking,cloud
is the obesity crisis hiding a bigger problem?,public health
how i started writing songs again,live music
the doubt essential to faith,faith
the astounding athletic power of quadcopters,robots
the family i lost in north korea. and the family i gained.,politics
"meet brck, internet access built for africa",ted fellows
photos from a storm chaser,photography
how we can predict the next financial crisis,economics
"how we'll resurrect the gastric brooding frog, the tasmanian tiger",animals
a saudi woman who dared to drive,islam
the surprising seeds of a big-data revolution in healthcare,tedx
anatomy of a new yorker cartoon,humor
"love, no matter what",mental health
the kill decision shouldn't belong to a robot,writing
why i brought pac-man to moma,museums
could we speak the language of dolphins?,animals
how to reduce poverty? fix homes,public health
"the violin, and my dark night of the soul",live music
how i made an impossible film,film
imagine a european democracy without borders,democracy
"how i named, shamed and jailed",journalism
architecture for the people by the people,open-source
violence against women?it's a men's issue,yesallwomen
how behavioral science can lower your energy bill,behavioral economics
how books can open your mind,library
what will future jobs look like?,work
the surprising need for strangeness,sociology
bring back the woolly mammoth!,deextinction
prepare for a good end of life,death
why google glass?,design
the why and how of effective altruism,social change
"hack a banana, make a keyboard!",toy
wiring a web for global good,europe
"a kinder, gentler philosophy of success",work
how to make filthy water drinkable,water
hold your breath for micro-sculpture,creativity
embrace the shake,disability
i believe we evolved from aquatic apes,evolution
art that looks back at you,software
skin color is an illusion,human origins
3 ways the brain creates meaning,visualizations
life lessons through tinkering,tedbooks
4 environmental 'heresies',sustainability
the invisible man,photography
playing with space and light,arts
exploring the mind of a killer,consciousness
a next-gen cure for killer infections,health care
teach statistics before calculus!,economics
the design genius of charles + ray eames,product design
escaping the khmer rouge,third world
17 words of architectural inspiration,architecture
"surgery's past, present and robotic future",health care
a better way to harvest bone marrow,health care
success is a continuous journey,productivity
how social media can make history,social media
an electrifying organ performance,piano
the psychology of time,brain
happiness and its surprises,happiness
new rules for rebuilding a broken nation,state-building
my trek to the south pole,global issues
how cults rewire the brain,faith
you are the future of philanthropy,philanthropy
eco-friendly drywall,invention
the world in 2200,community
life in biosphere 2,biosphere
learning from the gecko's tail,biomechanics
a plug for smart power outlets,energy
odes to vice and consequences,literature
a wide-angle view of fragile earth,environment
a university for the coming singularity,prediction
